PENYAKIT :
KG1	ULKUS DEKUBITUS
KG2	GINGIVITIS
KG3	ABSES
KG4	PULPITIS
KG5	PERSISTENSI
KG6	CALCULUS
KG7	GIGI FRAKTUR
KG8	PERIODONTITIS
KG9	GANGREN PULPA
KG10	KARIES GIGI

GEJALA :
KK1	LUKA PADA GUSI
KK2	GIGI TERASA SAKIT
KK3	PASIEN MENGALAMI DEMAM
KK4	GUSI MUDAH BERDARAH
KK5	GUSI BENGKAK DAN SAKIT
KK6	NYERI SAAT MENGGUNYAH MAKANAN
KK7	TERDAPAT NANAH PADA GUSI
KK8	GUSI TURUN DAN MENYUSUT
KK9	GIGI SENSITIF TERHADAP MAKANAN PANAS ATAU DINGIN
KK10	NYERI SPONTAN
KK11	MUNCULNA GIGI PERMANEN BERDEMPETAN DENGAN GIGI SUSU
KK12	TERDAPAT PLAK PADA GIGI
KK13	TERLIHAT RETAKAN PADA GIGI ATAU GIGI TERLIHAT CACAT
KK14	GUSI BERDARAH
KK15	MULUT TERSA TIDAK ENAK
KK16	WARNA GIGI BERUBAH ATAU BERBEDA DENGAN YANG LAINNYA
KK17	GIGI TERASA SAKIT SAAT MAKAN MAKANAN YANG PANAS ATAU DINGIN
KK18	EMAIL GIGI MENIPIS
KK19	ADA LUBANG PADA GIGI
KK20	GIGI SUSU GOYANG
KK21	NODA BEWARNA COKELAT, HITAM, ATAU PUTIH PADA PERMUKAAN GIGI
